id,Summary,Component,Status,Owner,Type,Priority,Milestone,Severity,Resolution,Actual Points,Points,Sponsor,Keywords
28525,Make tor_addr_is_internal_() aware of RFC 6598 (Carrier Grade NAT/Large Scale NAT) IPv4 Ranges,Core Tor/Tor,merge_ready,neel,defect,Medium,Tor: 0.3.5.x-final,Normal,,,,,"consider-backport-after-040-stable, ipv6, 040-deferred-20190220, 040-backport, 035-backport, 034-backport, 029-backport, security-low"
28547,Monitor relays that are not measured by each sbws instance,Core Tor/sbws,closed,juga,defect,Medium,sbws: 1.1.x-final,Normal,fixed,,,,"tor-bwauth, sbws-1.0-must-moved-20181128, sbws-11x-final-removed-20190312, sbws-110-proposed, changes-version-minor"
28563,Work out how sbws can report excluded relays in the bandwidth file,Core Tor/sbws,closed,juga,defect,Medium,sbws: 1.1.x-final,Normal,implemented,,,,"tor-bwauth, sbws-1.0-must-moved-20181128, sbws-11x-final-removed-20190312, sbws-110-proposed, changes-version-minor"
28565,Report excluded results in a relay's bandwidth line,Core Tor/sbws,closed,juga,defect,Medium,sbws: 1.1.x-final,Normal,implemented,,1,,"tor-bwauth, sbws-1.0-must-moved-20181128, sbws-11x-final-removed-20190312, sbws-110-proposed, changes-version-minor"
28567,"Report relays that sbws wants to test, but the test doesn't work",Core Tor/sbws,closed,juga,defect,Medium,sbws: 1.1.x-final,Normal,implemented,,1,,"tor-bwauth, sbws-1.0-must-moved-20181128, sbws-11x-final-removed-20190312, sbws-110-proposed, changes-version-minor"
28600,Refactor: store the minimum of the bandwidth values from the consenus in the results,Core Tor/sbws,closed,,defect,Medium,sbws: 1.0.x-final,Normal,wontfix,,,,
28698,"When circuit times are fixed, they can't be ""relaxed""",Core Tor/Tor,closed,,defect,Medium,Tor: 0.3.5.x-final,Normal,fixed,0.2,0.2,,"easy, log, intro, fast-fix, 035-backport?, consider-backport-after-0404"
28737,Redesign sbws torrc option configuration,Core Tor/sbws,closed,,defect,Medium,sbws: unspecified,Normal,wontfix,,1,,"changes-version-major, sbws-11x-final-removed-20190312, tech-debt, refactor, config"
28861,torsocks: Unsupported syscall number 217,Core Tor/Torsocks,closed,dgoulet,defect,Medium,,Normal,fixed,,,,"torsocks, syscall, 217"
29036,Coverage merge failures cause test_process_slow stderr check to fail,Core Tor/Tor,closed,teor,defect,High,Tor: 0.2.9.x-final,Major,fixed,0.6,0.5,,"041-accepted-20190115, regression, tor-ci, 029-backport, 034-backport, 035-backport, 040-backport, tor-ci-fail-sometimes"
29060,shellcheck: test-network.sh issues,Core Tor/Tor,closed,rl1987,defect,Medium,Tor: 0.4.1.x-final,Normal,implemented,,,,"technical-debt, regression, 041-must"
29121,tor man page doesn't mention isolating between socksports,Core Tor/Tor,closed,,defect,Medium,Tor: 0.4.0.x-final,Normal,fixed,0.1,0.1,,"doc, 040-backport"
29144,"Log the correct ""auto"" port number for listening sockets",Core Tor/Tor,closed,,defect,Medium,Tor: 0.3.5.x-final,Normal,fixed,0.1,0.1,,"041-proposed, 035-backport, 040-backport, consider-backport-after-0404"
29241,NSS SSL_ExportKeyingMaterial failing,Core Tor/Tor,merge_ready,nickm,defect,High,Tor: 0.3.5.x-final,Normal,,1.7,2,,"regression, 035-backport, 040-must, spec, teor-merge, 040-backport, consider-backport-after-0405"
29309,After download and clicking connect Tor loads half way and stops,Core Tor/Tor,closed,,defect,Medium,,Normal,user disappeared,,,,
29357,add an ActiveOnStartup config option,Core Tor/Tor,closed,nickm,enhancement,Very High,Tor: 0.4.0.x-final,Normal,fixed,.1,.5,,"tbb-needs, 040-proposed, 040-must"
29496,DOS,Core Tor/Tor,closed,,defect,Medium,,Major,user disappeared,,,,
29612,Update the documentation for ExitRelay,Core Tor/Tor,merge_ready,teor,defect,Medium,Tor: 0.4.0.x-final,Normal,,0.1,0.1,,"fast-fix, doc, 035-backport, 040-backport, consider-backport-after-0404"
29613,Make relays into exits when ExitRelay is auto and IPv6Exit is 1,Core Tor/Tor,closed,neel,defect,Medium,Tor: 0.4.1.x-final,Normal,implemented,0.1,0.5,,"ipv6, 041-proposed, tor-relay, tor-exit, reviewer-was-teor-20190422"
29640,Improve the monotonic time documentation in compat_time.c,Core Tor/Tor,closed,teor,defect,Medium,Tor: 0.4.1.x-final,Normal,fixed,0.1,0.1,,"tor-time, asn-merge"
29665,hs: circuit_expire_old_circuits_serverside() should check for RP circuits,Core Tor/Tor,closed,,defect,High,Tor: 0.3.4.x-final,Normal,fixed,0.1,0.1,,"tor-hs, tor-relay, 029-backport, 034-backport, 035-backport, 040-backport, consider-backport-after-0404"
29703,Backport test-network.sh fixes to 0.2.9,Core Tor/Tor,closed,teor,defect,Medium,Tor: 0.2.9.x-final,Normal,fixed,0.4,0.5,,"merge-after-0403-alpha, teor-merge, CI, PTs 029-backport network-team-roadmap-2019-Q1Q2"
